"CapDate","SVL","Tag","Occasion","Sex","Sex40"
2014-04-11,47,"O-E37",1,"f","f"
2014-04-11,39,"O-E38",1,"u","u"
2014-04-11,48,"O-E39",1,"f","f"
2014-04-11,45,"O-E40",1,"f","f"
2014-04-11,40,"O-E41",1,"f","f"
2014-04-11,35,"O-E42",1,"u","u"
2014-04-11,40,"O-E43",1,"f","f"
2014-04-11,45,"O-E44",1,"m","f"
2014-04-11,37,"O-E45",1,"u","u"
2014-04-11,46,"O-E46",1,"f","f"
2014-04-11,42,"O-E47",1,"u","u"
2014-04-11,42,"O-E48",1,"u","u"
2014-04-11,40,"O-E49",1,"f","f"
2014-04-11,43,"O-E50",1,"m","m"
2014-04-11,36,"O-E51",1,"u","u"
2014-04-11,40,"O-E52",1,"f","f"
2014-04-11,42,"O-E53",1,"m","m"
2014-04-11,43,"O-E54",1,"f","u"
2014-04-11,42,"O-E55",1,"f","f"
2014-04-11,40,"O-E56",1,"f","f"
2014-04-11,37,"O-E57",1,"u","u"
2014-04-13,43,"O-E58",1,"m","m"
2014-04-13,43,"O-E59",1,"m","m"
2014-04-13,36,"O-E61",1,"u","u"
2014-04-13,41,"O-E62",1,"f","f"
2014-04-13,38,"O-E63",1,"u","u"
2014-04-13,44,"O-E64",1,"m","m"
2014-04-13,45,"O-E65",1,"m","m"
2014-04-13,42,"O-E66",1,"m","m"
2014-04-13,40,"O-E67",1,"m","m"
2014-04-13,40,"O-E68",1,"m","m"
2014-04-13,36,"O-E69",1,"u","u"
2014-04-13,41,"O-E70",1,"f","f"
2014-04-13,36,"O-E71",1,"u","u"
2014-04-13,45,"O-E72",1,"f","f"
2014-04-13,38,"O-E73",1,"u","u"
2014-04-13,40,"O-E74",1,"f","f"
2014-04-13,39,"O-E75",1,"u","u"
2014-04-13,44,"O-E76",1,"f","m"
2014-04-13,41,"O-E77",1,"f","f"
2014-04-13,37,"O-E78",1,"f","u"
2014-04-13,41,"O-E79",1,"f","f"
2014-04-13,35,"O-E80",1,"u","u"
2014-04-13,40,"O-E81",1,"m","m"
2014-04-13,38,"O-E82",1,"u","u"
2014-04-13,40,"O-E83",1,"m","f"
2014-04-13,43,"O-E84",1,"m","m"
2014-04-15,38,"O-E85",1,"u","u"
2014-04-15,40,"O-E86",1,"f","f"
2014-04-15,39,"O-E87",1,"u","u"
2014-04-15,44,"O-E88",1,"m","m"
2014-04-15,39,"O-E89",1,"u","u"
2014-04-15,39,"O-E90",1,"u","u"
2014-04-15,45,"O-E91",1,"m","m"
2014-04-15,40,"O-E92",1,"f","f"
2014-04-15,39,"O-E93",1,"f","u"
2014-04-15,37,"O-E94",1,"u","u"
2014-04-15,37,"O-E95",1,"u","u"
2014-04-15,42,"O-E97",1,"m","m"
2014-04-15,44,"O-E98",1,"f","f"
2014-04-15,37,"O-E99",1,"u","u"
2014-04-15,43,"O-C00",1,"m","m"
2014-04-15,40,"O-C01",1,"m","m"
2014-04-15,44,"O-C02",1,"f","f"
2014-04-15,40,"O-C03",1,"m","m"
2014-04-15,41,"O-C04",1,"f","f"
2014-04-15,46,"O-C05",1,"f","f"
2014-04-15,40,"O-C06",1,"m","m"
2014-04-15,42,"O-C07",1,"m","m"
2014-04-17,40,"O-C08",1,"f","f"
2014-04-17,40,"O-C09",1,"u","m"
2014-04-17,39,"O-C10",1,"u","u"
2014-04-17,40,"O-C11",1,"m","m"
2014-04-17,38,"O-C12",1,"u","u"
2014-04-17,38,"O-C13",1,"m","u"
2014-04-17,42,"O-C14",1,"m","m"
2014-04-17,35,"O-C15",1,"u","u"
2014-04-17,40,"O-C16",1,"m","m"
2014-04-17,39,"O-C17",1,"u","u"
2014-04-17,40,"O-C18",1,"m","m"
2014-04-17,37,"O-C19",1,"u","u"
2014-04-17,39,"O-C21",1,"u","u"
2014-04-17,38,"O-C22",1,"u","u"
2014-04-17,37,"O-C23",1,"u","u"
2014-04-17,44,"O-C24",1,"f","f"
2014-04-17,45,"O-C25",1,"f","f"
2014-04-17,42,"O-C26",1,"f","f"
2014-04-17,37,"O-C27",1,"u","u"
2014-04-17,44,"O-C28",1,"f","f"
2014-04-17,35,"O-C29",1,"u","u"
2014-04-17,36,"O-C30",1,"u","u"
2014-04-17,39,"O-C31",1,"u","u"
2014-04-17,42,"O-C32",1,"m","m"
2014-04-17,40,"O-C33",1,"f","f"
2014-04-17,43,"O-C34",1,"f","f"
2014-04-17,44,"O-C35",1,"m","m"
2014-04-17,40,"O-C36",1,"m","m"
2014-04-17,43,"O-C37",1,"m","m"
2014-04-17,37,"O-C38",1,"u","u"
2014-04-17,40,"O-C39",1,"f","f"
2014-04-17,38,"O-C40",1,"u","u"
2014-04-17,44,"O-C41",1,"f","f"
2014-04-17,45,"O-C42",1,"m","m"
2014-04-17,47,"O-E14",1,"f","f"
2014-04-17,49,"O-C43",1,"f","f"
2014-04-18,43,"O-C44",1,"m","f"
